yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,registered_state,make,model,total_owners,original_price,car_rating,warranty_avail
2018,2,40585,917999,2,2,3,2,114,2,971575.0,1,2
2009,1,99003,258599,2,1,3,4,27,2,302880.0,1,2
2015,1,73411,342399,1,1,1,1,104,1,434736.0,1,2
2015,2,74165,530399,3,2,3,10,112,1,668280.0,2,2
2012,2,89809,292199,1,1,1,1,104,1,305495.0,1,2
2012,2,98304,253699,1,1,2,2,60,1,346396.0,1,2
2016,2,84113,448699,2,1,2,11,13,1,500245.0,1,2
2010,1,74464,298999,2,1,1,4,27,2,527424.0,1,2
2011,1,112222,231499,1,1,3,4,21,1,346028.0,2,2
2017,2,70268,579799,2,1,3,1,26,1,734314.0,1,2
2016,2,87720,502599,3,1,3,5,40,3,514674.0,1,2
2015,2,54862,505199,1,1,3,1,104,1,467108.0,1,2
2012,2,97973,350199,2,1,3,1,105,1,451699.0,1,2
2013,2,93447,323599,2,1,1,4,12,1,441793.0,1,2
2013,2,87567,342199,1,1,1,1,104,1,467108.0,1,2
2017,2,60967,975299,3,2,2,2,33,2,982267.0,1,2
2015,2,82388,489199,1,1,3,2,42,1,542932.0,1,1
2012,2,90249,326399,2,1,1,1,105,1,326799.0,1,2
2012,1,93626,203399,1,1,3,1,92,1,230564.0,1,2
2012,2,26566,1090697,4,2,3,15,0,2,1551217.0,1,2
2013,2,84308,319599,1,1,3,1,104,2,362820.0,1,2
2012,2,108007,316199,1,1,1,2,60,2,355277.0,1,2
2013,1,93013,223599,1,1,1,4,21,1,346028.0,1,2
2015,2,81692,474599,2,1,3,1,26,2,494101.0,1,2
2010,1,94371,237399,1,1,3,2,60,1,355277.0,1,2
2013,2,82786,264299,1,1,1,1,104,2,343573.0,1,2
2016,1,80252,1591960,4,1,1,7,23,1,1593500.0,1,2
2012,2,106913,276399,2,1,3,1,105,2,294630.0,1,2
2013,2,90030,319199,1,1,1,1,104,1,398540.0,1,2
2015,1,64236,407299,1,1,3,2,56,2,488119.5,1,2
2017,1,58561,720299,2,1,3,4,27,2,527424.0,1,1
2014,2,97711,368799,1,1,1,1,104,1,383361.0,1,2
2013,2,106300,339699,2,1,3,1,105,1,368595.0,1,2
2013,2,90775,362699,2,1,1,1,105,1,369412.0,1,2
2011,1,105271,209599,1,1,1,2,59,1,297907.5,2,2
2012,1,107016,299599,2,2,3,5,49,1,302299.0,1,2
2012,1,121312,289099,2,1,1,1,105,1,451699.0,1,2
2012,2,89318,307299,1,1,3,1,104,1,397464.0,1,2
2014,2,101891,381499,2,1,1,1,105,1,465599.0,1,2
2015,1,82393,277499,1,1,1,2,44,1,288599.0,2,2
2015,2,73479,538799,3,1,2,1,93,2,856353.0,1,2
2015,2,126440,405899,2,1,1,1,105,1,471205.0,1,1
2013,2,104976,335799,2,1,1,1,105,2,345899.0,1,2
2012,2,105865,366899,4,1,1,7,32,1,448316.0,1,2
2012,2,45643,1159074,4,2,3,12,5,1,1173920.5,1,2
2014,2,106521,385999,1,1,3,1,104,1,449890.0,1,2
2012,2,121820,300599,2,1,3,7,46,1,337830.0,2,2
2013,2,100427,317199,2,1,3,1,105,2,379753.0,1,2
2012,2,160408,263599,1,1,3,7,47,1,341798.0,1,2
2014,2,103867,479099,2,1,3,1,26,1,573000.0,1,2
2015,3,105284,324499,1,2,3,1,24,2,324837.0,1,2
2013,2,130274,420199,3,1,3,5,40,1,515400.0,1,1
2013,2,134080,385699,2,1,1,2,114,1,469973.0,1,2
2012,2,128836,290399,2,1,3,1,105,1,368056.0,1,2
2015,2,109260,1616402,5,2,3,12,87,1,1451138.0,1,2
2014,2,69781,1016967,3,1,1,7,64,1,1067659.0,1,2
2013,2,136399,614199,3,1,3,7,64,1,831639.0,1,2
2012,2,87995,261399,1,1,1,2,60,3,321680.0,2,2
2012,2,136700,318299,1,1,3,1,104,1,396454.0,1,2
2014,2,82096,1013331,3,1,3,7,64,1,1062066.0,1,2
2012,2,96301,1040904,5,1,3,7,52,2,1058744.0,1,2
2012,2,166542,1102413,5,1,3,7,52,1,1249075.0,1,2
2012,2,194439,1158367,5,1,1,7,52,1,1346736.0,1,2
2011,1,86336,245799,1,1,1,11,84,2,511273.0,2,2
2017,1,22003,288499,1,1,2,2,44,1,288599.0,1,2
2015,2,29903,453799,1,1,3,1,104,1,467108.0,1,2
2015,1,19172,314699,1,1,1,1,117,1,327599.0,1,2
